Title,Link,Authors,Conference,Year
Fourteen months of observations of the possible super-Chandrasekhar mass Type Ia Supernova 2009dc,/document/8224788/,"Jeffrey M. Silverman;
Mohan Ganeshalingam;
Weidong Li;
Alexei V. Filippenko;
Adam A. Miller;
Dovi Poznanski",Monthly Notices of the Royal Astronomical Society,Year: 2011
Signatures of bimodality in nebular phase Type Ia supernova spectra,/document/9114131/,"P J Vallely;
M A Tucker;
B J Shappee;
J S Brown;
K Z Stanek;
C S Kochanek",Monthly Notices of the Royal Astronomical Society,Year: 2019
Consistency testing for invariance of the speed of light at different redshifts: the newest results from strong lensing and Type Ia supernovae observations,/document/9520988/,"Tonghua Liu;
Shuo Cao;
Marek Biesiada;
Yuting Liu;
Yujie Lian;
Yilong Zhang",Monthly Notices of the Royal Astronomical Society,Year: 2021
Multi-epoch high-spectral-resolution observations of neutral sodium in 14 Type Ia supernovae,/document/8196426/,"A. Sternberg;
A. Gal-Yam;
J. D. Simon;
F. Patat;
W. Hillebrandt;
M. M. Phillips;
R. J. Foley;
I. Thompson;
N. Morrell;
L. Chomiuk;
A. M. Soderberg;
D. Yong;
A. L. Kraus;
G. J. Herczeg;
E. Y. Hsiao;
S. Raskutti;
J. G. Cohen;
P. A. Mazzali;
K. Nomoto",Monthly Notices of the Royal Astronomical Society,Year: 2014
Two c's in a pod: cosmology-independent measurement of the Type Ia supernova colour–luminosity relation with a sibling pair,/document/9691195/,"Rahul Biswas;
Ariel Goobar;
Suhail Dhawan;
Steve Schulze;
Joel Johansson;
Eric C Bellm;
Richard Dekany;
Andrew J Drake;
Dmitry A Duev;
Christoffer Fremling;
Matthew Graham;
Young-Lo Kim;
Erik C Kool;
Shrinivas R Kulkarni;
Ashish A Mahabal;
Daniel Perley;
Mickael Rigault;
Ben Rusholme;
Jesper Sollerman;
David L Shupe;
Matthew Smith;
Richard S Walters",Monthly Notices of the Royal Astronomical Society,Year: 2021
A one-dimensional Chandrasekhar-mass delayed-detonation model for the broad-lined Type Ia supernova 2002bo,/document/8209162/,"Stéphane Blondin;
Luc Dessart;
D. John Hillier",Monthly Notices of the Royal Astronomical Society,Year: 2015
Spectral modelling of the ‘super‐Chandrasekhar’ Type Ia SN 2009dc – testing a 2 M⊙ white dwarf explosion model and alternatives,/document/8186088/,"Stephan Hachinger;
Paolo A. Mazzali;
Stefan Taubenberger;
Michael Fink;
Rüdiger Pakmor;
Wolfgang Hillebrandt;
Ivo R. Seitenzahl",Monthly Notices of the Royal Astronomical Society,Year: 2012
Consequences for some dark energy candidates from the type Ia supernova SN 1997ff,/document/8172627/,R. G. Vishwakarma,Monthly Notices of the Royal Astronomical Society,Year: 2002
SN 2017hpa: a carbon-rich Type Ia supernova,/document/9480751/,"Anirban Dutta;
Avinash Singh;
G C Anupama;
D K Sahu;
Brajesh Kumar",Monthly Notices of the Royal Astronomical Society,Year: 2021
Abundance stratification in Type Ia supernovae – III. The normal SN 2003du,/document/8224826/,"Masaomi Tanaka;
Paolo A. Mazzali;
Vallery Stanishev;
Immanuel Maurer;
Wolfgang E. Kerzendorf;
Kenichi Nomoto",Monthly Notices of the Royal Astronomical Society,Year: 2011
Supernova Legacy Survey: using spectral signatures to improve Type Ia supernovae as distance indicators,/document/8224733/,"E. S. Walker;
I. M. Hook;
M. Sullivan;
D. A. Howell;
P. Astier;
C. Balland;
S. Basa;
T. J. Bronder;
R. Carlberg;
A. Conley;
D. Fouchez;
J. Guy;
D. Hardin;
R. Pain;
K. Perrett;
C. Pritchet;
N. Regnault;
J. Rich;
G. Aldering;
H. K. Fakhouri;
T. Kronborg;
N. Palanque-Delabrouille;
S. Perlmutter;
V. Ruhlmann-Kleider;
T. Zhang",Monthly Notices of the Royal Astronomical Society,Year: 2011
Photometric Type Ia supernova surveys in narrow-band filters,/document/8196375/,"Henrique S. Xavier;
L. Raul Abramo;
Masao Sako;
Narciso Benítez;
Maurício O. Calvão;
Alessandro Ederoclite;
Antonio Marín-Franch;
Alberto Molino;
Ribamar R. R. Reis;
Beatriz B. Siffert;
Laerte. Sodré",Monthly Notices of the Royal Astronomical Society,Year: 2014
Improving Cooling Performance of Gas Conditioning Towers/Downcomers to Reduce Plant Emissions,/document/10143789/,"Robert Van Durme P.E;
Marek Serafin P.E",2021 IEEE-IAS/PCA Cement Industry Conference (IAS/PCA),Year: 2021
The effect of curvature on detonation waves in Type Ia supernovae,/document/8176986/,Gary J. Sharpe,Monthly Notices of the Royal Astronomical Society,Year: 2001
Double detonations at the core—envelope boundary in Type Ia supernovae,/document/8177505/,"D. J. R. Wiggins;
G. J. Sharpe;
S. A. E. G. Falle",Monthly Notices of the Royal Astronomical Society,Year: 1998
Two-dimensional detonation waves in Type Ia supernovae,/document/8218390/,"D. J. R. Wiggins;
S. A. E. G. Falle",Monthly Notices of the Royal Astronomical Society,Year: 1997
Multidimensional simulations of radiative transfer in Type Ia supernovae,/document/8193457/,S. A. Sim,Monthly Notices of the Royal Astronomical Society,Year: 2007
Two-dimensional magnetohydrodynamics simulations of young Type Ia supernova remnants,/document/8150688/,"Jun Fang;
Li Zhang",Monthly Notices of the Royal Astronomical Society,Year: 2012
The response of a helium white dwarf to an exploding Type Ia supernova,/document/8211973/,"Oded Papish;
Noam Soker;
Enrique García–Berro;
Gabriela Aznar–Siguán",Monthly Notices of the Royal Astronomical Society,Year: 2015
Rayleigh–Taylor instabilities in Type Ia supernova remnants undergoing cosmic ray particle acceleration – low adiabatic index solutions,/document/8213839/,Chih-Yueh Wang,Monthly Notices of the Royal Astronomical Society,Year: 2011
The host galaxies of Type Ia supernovae at z= 0.6,/document/8159309/,"D. Farrah;
W. P. S. Meikle;
D. Clements;
M. Rowan-Robinson;
S. Mattila",Monthly Notices of the Royal Astronomical Society,Year: 2002
Light-curve properties of SN 2017fgc and HV SNe Ia,/document/9480451/,"Umut Burgaz;
Keiichi Maeda;
Belinda Kalomeni;
Miho Kawabata;
Masayuki Yamanaka;
Koji S Kawabata;
Naoki Kawahara;
Tatsuya Nakaoka",Monthly Notices of the Royal Astronomical Society,Year: 2021
An imaging polarimetry survey of Type Ia supernovae: are peculiar extinction and polarization properties produced by circumstellar or interstellar matter?,/document/9691241/,"Matthew R Chu;
Aleksandar Cikota;
Dietrich Baade;
Ferdinando Patat;
Alexei V Filippenko;
J Craig Wheeler;
Justyn Maund;
Mattia Bulla;
Yi Yang;
Peter Höflich;
Lifan Wang",Monthly Notices of the Royal Astronomical Society,Year: 2021
Type Ia supernovae and remnant neutron stars,/document/8157933/,"A. R. King;
J. E. Pringle;
D. T. Wickramasinghe",Monthly Notices of the Royal Astronomical Society,Year: 2001
More about arc-fault circuit interrupters,/document/1257720/,"G.D. Gregory;
Kon Wong;
R. Dvorak","38th IAS Annual Meeting on Conference Record of the Industry Applications Conference, 2003.",Year: 2003
On the nature of Type IIn/Ia–CSM supernovae: optical and near-infrared spectra of SN 2012ca and SN 2013dn,/document/8195970/,"Ori D. Fox;
Jeffrey M. Silverman;
Alexei V. Filippenko;
Jon Mauerhan;
Juliette Becker;
H. Jacob Borish;
S. Bradley Cenko;
Kelsey I. Clubb;
Melissa Graham;
Eric Hsiao;
Patrick L. Kelly;
William H. Lee;
G. H. Marion;
Dan Milisavljevic;
Jerod Parrent;
Isaac Shivvers;
Michael Skrutskie;
Nathan Smith;
John Wilson;
Weikang Zheng",Monthly Notices of the Royal Astronomical Society,Year: 2014
Hydrogen and helium in the spectra of Type Ia supernovae,/document/8181161/,"Peter Lundqvist;
Seppo Mattila;
Jesper Sollerman;
Cecilia Kozma;
E. Baron;
Nick L. J. Cox;
Claes Fransson;
Bruno Leibundgut;
Jason Spyromilio",Monthly Notices of the Royal Astronomical Society,Year: 2013
Understanding nebular spectra of Type Ia supernovae,/document/9109169/,"Kevin D Wilk;
D John Hillier;
Luc Dessart",Monthly Notices of the Royal Astronomical Society,Year: 2020
Constraining the progenitor companion of the nearby Type Ia SN 2011fe with a nebular spectrum at +981 d,/document/8198721/,"M. L. Graham;
P. E. Nugent;
M. Sullivan;
A. V. Filippenko;
S. B. Cenko;
J. M. Silverman;
K. I. Clubb;
W. Zheng",Monthly Notices of the Royal Astronomical Society,Year: 2015
On the fraction of intermediate-mass close binaries that explode as Type Ia supernovae,/document/8150513/,Dan Maoz,Monthly Notices of the Royal Astronomical Society,Year: 2008
A new evolutionary channel for Type Ia supernovae,/document/8173056/,"A. R. King;
D. J. Rolfe;
K. Schenker",Monthly Notices of the Royal Astronomical Society,Year: 2003
